L'Examen de conscience,
Livre de perfection,
Traité de la vie contemplative,
Vie de saint Julien,
Vie de saint Josse,The Examination of the Conscience
Congratulacion et graces de la nativité de Charles aisné filz du roy Loys unziesme de ce nom,
Livre des quatre dames,Treatise on the Contemplative Life
Chroniques,
Bible historiale,Life of St. Yves
Vie et office de sainte Radegande,
Ethique et Politique,
Vie et mystère de saint Vincent en vers et par personnages,Chronicles
Parfait du Paon,
Restor du Paon,
Roman d'Alexandre,Ethics and Politics
Voeux du Paon,"Life and mystère of St. Vincent, in verse"
"Le Livre des amphorismes Ypocras, en medecine, avecques les commens de Galien",
Grandes Heures du duc de Berry,
Psautier Saint Louis,Romance of Alexander
Breviaire,Vow of the Peacock
Miroir historial v. 2,"The Book of Hippocrates' Aphorisms, with Galen's Commentary"
Confessio Amantis,
La Passion de Jésus-Christ en prose,Saint Louis' Psalter
Pourquoi Dieu s'est fait homme,Breviary
Soliloque touchant le gage de l'âme,Mirror of History v. 2
Legiloque,The Confessions of a Lover
Declaracion de la differance entre pechié mortel et veniel,
In festo beati Petri et Pauli apostolorum sermo,Why God Became Man
Pèlerinage de l'âme en prose,On the Earnest Money of the Soul
Qui manducat me,
Vidimus nunc,Declaration of the Difference between Mortal and Venial Sin
Livre des anges,Sermon on the Feast of the Blessed Apostles Peter and Paul
Certamen dedit ili ut vinceret,Pilgrimage of the Soul in Prose
Tu discipulus eius sie,Who Eats of Me
Gloria in altissimus deo,Now We See
Omne regnum in semplum,
Pax vobis,
Puer natus est,
Querite dominum,
Sermon sur la Passion Jhesucrist,
Si terrena dixi vobis,
Suscepimus deus,
Tota pulcra es amica mea,
Ibi eum videbitis,Sermon on the Passion of Christ
La Maison de conscience,
Livre d'instruction pour religieuses novices envoyé à une novice fontebriste,
"Le Livre qui parle du prêtre, de l'église et de la messe",
Mystère de la Résurrection,
Le Paradis de la reine Sibylle,
Le Paradis terrestre et l'Excursion aux îles Lipari,
Secret des secrets,"Treatise on the Church, her ministers, and the Mass"
Vie de sainte Catherine de Sienne,
Missel,Paradise of the Queen Sibylle
Bestiaire,Earthly Paradise and the Excursion to the Lipari Isles
Dits moraux des philosophes,Secret of Secrets
Métamorphoses,Life of St. Catherine of Sienna
Histoire de Thèbes et de Troie,Missal
Faits des Romains,Bestiary
Grandes chroniques de France,Moral Sayings of the Philosophers
Livre de Godeffroy de Bouillon,Moralized Metamorphoses
Histoire de Lusignan,
Livre de l'information des princes,Deeds of the Romans
Le Dit de la Panthère,Great Chronicles of France
Le Livre de la Violette,The Book of Godfrey of Bouillon
Le Roman de la Rose,History of Lusignan
Le Testament de Jean de Meun,Book of Information for Princes
Plusieurs balades et dictiés,The Tale of the Panther
A Saint's Life,The Romance of the Violet
Renard de Montaubon en Prose,The Romance of the Rose
Dit de la Pastoure,The Testament of Jean de Meun
De morali principis institutione,Many Ballads and Tales
Les Dits Moraux des Philosophes,
The Pilgrimage of the Life of Man,
Vie de Saint Etienne,The Tale of the Shepherdess
Légende dorée,The Moral Instruction of a Prince
Cité de Dieu,The Moral Sayings of Philosophers
Des cas des nobles hommes et femmes,
Livre du Trésor,Life of St. Stephen
Le Livre des Proprietez des Choses,The Golden Legend
Nouveau Testament,City of God
Pèlerinage de Vie humaine,On the Fates of Famous Men and Women
Mortifiement de vaine plaisance,Book of Treasure
Le Montagne de contemplation,On the Properties of Things
Pontus et Sidoine,
Melusine ou La noble histoire de Lusignan,Pilgrimage of Human Life (Pilgrimage of Man)
Confession,The Killing of Vain Pleasure
Livre de la Cité des Dames,Mountain of Contemplation
Le Livre des trois vertus,Ponthius and Sidonie
Danse aux aveugles,Melusine or the Noble History of Lusignan
Instruction d'un jeune prince,
Le Livre des herbes et arbres,The Book of the City of Ladies
Le Livre du gouvernement des rois,The Book of the Three Virtues
Roman de Cleriadus et Meliadice,Dance of the Blind
Livre de Consolation,Instruction of a Young Prince
Pierre de Provence et la belle Maguelonne,
Paris et Vienne,The Book of the Governance of Kings
