Adenet le Roi
Antoine de La Sale
Christine de Pizan
Frère Laurent
Gautier de Coinci
Guillaume de Digulleville
Guillaume de Vaurouillon
Hugh of St. Victor
Jacobus de Voragine
Jean de Varennes
Jean Gerson
Jean Gobi the Younger
Jean Sarassin
Robert Ciboule
St. Anselm
Vincent of Beauvais
Jacques de Longuyon
Jean Brisebarre
Jean de le Motte
Bartholomeus Anglicus
Gautier Map
Pierre le Mangeur
Giovanni Boccaccio
Hippocrates
Jean le Long d’Ypres
Jean d'Arras
John Gower
Guillaume Durand de Mende
St. Augustine
Aristotle
Ovid
Guillaume de Tignonville
John Lydgate
Wauchier de Denain
Titus Livy
Jean Froissart
Wace
Gonzalo de Hinohosa
Marco Polo
Vegetius
Honoré Bonet
Gossuin de Metz
Brunetto Latini
Guillaume de Lorris
Jean de Meun
Gerbert de Montreuil
Nicole de Margival
Bonaventura
Henry Suso
Philippe de Vitry
Geoffrey Chaucer
Guillaume Danicot
Etienne des Arpentiz
Jean Mansel
Robert le Chartreux
Alain Chartier
René d'Anjou
Pierre Michault
Gilbert de Lannoy
Gilles de Rome
Boethius
Olivier le Rouyer
Pierre de la Cépède
