Histoire de Merlin,Arsenal fr. 3479,Story of Merlin,Gautier Map,https://arlima.net/mp/merlin_en_prose_roman_de.html,
Le saint Graal,Arsenal fr. 3479,The Holy Grail,Gautier Map,https://arlima.net/eh/estoire_del_saint_graal.html,
La Mort d'Artus,Arsenal fr. 3480,The Death of Arthur,Gautier Map,https://arlima.net/mp/mort_le_roi_artu.html,
La Quête du saint Graal,Arsenal fr. 3480,The Quest for the Holy Grail,Gautier Map,https://arlima.net/qt/queste_del_saint_graal.html,
Lancelot du Lac,Arsenal fr. 3479! Arsenal fr. 3480,Lancelot of the Lake,Gautier Map,https://arlima.net/il/lancelot_en_prose.html,
La Droite forme pour vivre,BL Add. 29986,The Right Way to Live,,,
Le Livre du cloistre de l'ame,BL Add. 29986,The Book of the Cloister of the Soul,,,
Le Mirouer de mortel vie,BL Add. 29986,Mirror of Mortal Life,,https://arlima.net/il/je_vois_morir.html,
Les Meditacions saint Anseaume,BL Add. 29986,Meditations of St. Anselm,,,
Miroir des dames,BL Add. 29986,Mirror of Ladies,,,Mirror of Princes
Bedford Psalter and Hours,BL Add. 42131,,,,Paraliturgical
La Fleur des Histoires de la terre d'Orient and five other travel accounts,BL Add. MS 40851,,Jean le Long d’Ypres,https://www.arlima.net/il/jean_le_long_dypres.html#hay,
A shewing in generall wordis that a sawle corruptithe with synne hit must be waishid and clensid from the filthe of sinne…',BL Cotton MS Otho D II,,,,
Foure thingis be nedefull to evere Cristen man and woman to rule theein be to obtayne the blisse of heuen,BL Harley MS 937,,,,
Here beginneth a tretes of mekeues,BL Harley MS 4012,,,,
Here foloing be the artikill of the faith,BL Harley MS 4012,,,,
Here is foling a short and a frutefull tretes how that ther was assembelid viii wide men and masters for to declare what meret tribulacion is for manne mekely sufferd,BL Harley MS 4012,,,,
Here is the mirroure of sinnes,BL Harley MS 4012,,,,
Ho sumener saith this praier in the worship of the passion shall haue C. 3ere of pardon,BL Harley MS 4012,,,,
Iehsu the sonne of mare mylde,BL Harley MS 4012,,,,
Mirror of St Edmund. imperfect,BL Harley MS 4012,,,,
Prose Life of St Catherine,BL Harley MS 4012,,,,
Prose Life of St Margaret,BL Harley MS 4012,,,,
The Charter of our eritage,BL Harley MS 4012,,,,
the pardon of the monastery of Shene whiche is Syon,BL Harley MS 4012,,,,
Theis be the wordis that our saueoure Iehsu spake to his holy spouse and virgen Sent Moll,BL Harley MS 4012,,,,
treatise on 'fowre maner of wasshingis.' imperfect,BL Harley MS 4012,,,,
Verse Life of St Anne,BL Harley MS 4012,,,,
Verse Life of St Patrick,BL Harley MS 4012,,,,
Autres Balades (Plusieurs Balades de Divers Propos),BL Harley MS 4012,Other Ballads,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#aut,Poetry
Balades de Plusieurs Façons,BL Harley MS 4012,Ballads of Several Kinds,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#est,Poetry
Cent Balades d'Amant et de Dame,BL Harley MS 4431,One Hundred Ballads of a Lover and a Lady,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#100a,Poetry
Encore autres balades,BL Harley MS 4431,Still Other Ballads,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#enc,Poetry
Enseignemens que Cristine donne à son Filz (Les Enseignemens Moraux),BL Harley MS 4431,Instructions that Christine Gives to Her Son (Moral Teachings),Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#ens,
Lay de Vers L'onimes,BL Harley MS 4431,,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#lai,
Livre de Poissy,BL Harley MS 4431,The Book of Poissy,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#poi,
Prologue adreçant à la royne,BL Harley MS 4431,Prologue Addressing the Queen,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#ded,
Quinze Joyes Nostre Dame Rimées,BL Harley MS 4431,Fifteen Joys of Our Lady in Rhyme,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#qui,
